To(verb)﻿ - P S - P P,Traduzione IT,Base IPA,PS IPA,PP IPA,Esempio PS,Trad Esempio PS,Esempio PP,Trad Esempio PP,Common errors,Trad Common errors
abide - abode - abode,rispettare,əˈbaɪd,əˈbəʊd,əˈbəʊd,He abode by rules,Rispettò le regole,He has abode by rules,Ha rispettato le regole,abided,⚠️ forma alternativa
arise - arose - arisen,sorgere,əˈraɪz,əˈrəʊz,əˈrɪzən,Problems arose,Sono sorti problemi,Problems have arisen,Sono sorti problemi,arised,❌ forma errata
awake - awoke - awoken,svegliarsi,əˈweɪk,əˈwəʊk,əˈwəʊkən,I awoke early,Mi svegliai presto,I have awoken early,Mi sono svegliato presto,awaked,❌ forma errata
be-was(were)-been,essere,biː,wɒz(wɜː),biːn,I was very tired yesterday,Ero molto stanco ieri,I have been here before,Sono stato qui prima,I have be,❌ participio passato errato
bear - bore - borne,sopportare,beə,bɔː,bɔːn,She bore pain,Ha sopportato il dolore,She has borne it,Lo ha sopportato,beared,❌ forma errata
beat - beat - beaten,battere,biːt,biːt,ˈbiːtən,He beat me,Mi ha battuto,He has beaten me,Mi ha battuto,beated,❌ forma errata
become - became - become,diventare,bɪˈkʌm,bɪˈkeɪm,bɪˈkʌm,He became famous,È diventato famoso,He has become a teacher,È diventato insegnante,He has became,❌ PS usato al posto del PP
befall - befell - befallen,accadere,bɪˈfɔːl,bɪˈfel,bɪˈfɔːlən,It befell him,Gli accadde,It has befallen him,Gli è accaduto,befalled,❌ forma errata
beget - begot - begotten,procreare,bɪˈɡet,bɪˈɡɒt,bɪˈɡɒtən,He begot sons,Generò figli,He has begotten sons,Ha generato figli,begetted,❌ forma errata
begin - began - begun,iniziare,bɪˈɡɪn,bɪˈɡæn,bɪˈɡʌn,The lesson began late,La lezione è iniziata tardi,The lesson has begun,La lezione è iniziata,has began,❌ forma del PP errata
bend - bent - bent,piegare,bend,bent,bent,He bent it,L’ha piegato,He has bent it,L’ha piegato,bended,❌ forma errata
beseech - besought - besought,supplicare,bɪˈsiːtʃ,bɪˈsɔːt,bɪˈsɔːt,He besought help,Suplicò aiuto,He has besought help,Ha supplicato aiuto,beseeched,❌ forma errata
beset - beset - beset,assediare,bɪˈset,bɪˈset,bɪˈset,Problems beset us,I problemi ci assediarono,Problems have beset us,I problemi ci assediano,besetted,❌ invariabile
bet - bet - bet,scommettere,bet,bet,bet,I bet money,Ho scommesso soldi,I have bet before,Ho scommesso prima,beted,❌ forma errata
betake - betook - betaken,dirigersi verso,bɪˈteɪk,bɪˈtʊk,bɪˈteɪkən,He betook himself home,Si diresse a casa,He has betaken himself home,Si è diretto a casa,betaked,❌ forma errata
bid - bade - bidden,ordinare,bɪd,bæd,ˈbɪdən,He bade farewell,Disse addio,He has bidden farewell,Ha detto addio,bidded,❌ forma errata
bind - bound - bound,legare,baɪnd,baʊnd,baʊnd,They bound him,L’hanno legato,They have bound him,L’hanno legato,binded,❌ forma errata
bleed - bled - bled,sanguinare,bliːd,bled,bled,He bled a lot,Ha sanguinato molto,He has bled,Ha sanguinato,bleeded,❌ forma errata
blow - blew - blown,soffiare,bləʊ,bluː,bləʊn,The wind blew,Il vento soffiava,The wind has blown,Il vento ha soffiato,blowed,❌ forma errata
break - broke - broken,rompere,breɪk,brəʊk,ˈbrəʊkən,I broke it,L’ho rotto,I have broken it,L’ho rotto,breaked,❌ forma errata
bring-brought-brought,portare,brɪŋ,brɔːt,brɔːt,I brought my laptop,Ho portato il mio portatile,I have brought everything,Ho portato tutto,bringed,❌ verbo irregolare
broadcast-broadcast-broadcast,trasmettere,ˈbrɔːdkɑːst,ˈbrɔːdkɑːst,ˈbrɔːdkɑːst,They broadcast news,Hanno trasmesso notizie,They have broadcast news,Hanno trasmesso notizie,broadcasted,⚠️ forma alternativa
build-built-built,costruire,bɪld,bɪlt,bɪlt,They built a house,Hanno costruito una casa,They have built a house,Hanno costruito una casa,builded,❌ forma regolare errata
burst-burst-burst,scoppiare,bɜːst,bɜːst,bɜːst,It burst,È scoppiato,It has burst,È scoppiato,bursted,❌ verbo invariabile
buy-bought-bought,comprare,baɪ,bɔːt,bɔːt,I bought a book,Ho comprato un libro,I have bought a car,Ho comprato un’auto,buyed,❌ forma regolare errata
cast-cast-cast,lanciare,kɑːst,kɑːst,kɑːst,He cast the net,Ha lanciato la rete,He has cast it,L’ha lanciata,casted,❌ invariabile
catch-caught-caught,prendere / catturare,kætʃ,kɔːt,kɔːt,I caught the ball,Ho preso la palla,I have caught a cold,Ho preso un raffreddore,catched,❌ forma errata
chide-chid-chidden,rimproverare,tʃaɪd,tʃɪd,ˈtʃɪdən,He chid him,Lo rimproverò,He has chidden him,Lo ha rimproverato,chided,⚠️ forma alternativa
choose-chose-chosen,scegliere,tʃuːz,tʃəʊz,ˈtʃəʊzən,I chose this one,Ho scelto questo,I have chosen well,Ho scelto bene,choosed,❌ verbo irregolare
cleave-clove-cloven,spaccare,kliːv,kləʊv,ˈkləʊvən,He clove wood,Spaccò legna,He has cloven it,L’ha spaccata,cleaved,⚠️ forma alternativa
cling-clung-clung,aggrapparsi,klɪŋ,klʌŋ,klʌŋ,He clung to me,Si è aggrappato a me,He has clung to me,Si è aggrappato a me,clinged,❌ forma errata
come-came-come,venire,kʌm,keɪm,kʌm,She came early,È venuta presto,She has come back,È tornata,has came,❌ PP errato
cost-cost-cost,costare,kɒst,kɒst,kɒst,It cost a lot,È costato molto,It has cost much,È costato molto,costed,❌ invariabile
creep-crept-crept,muoversi lentamente,kriːp,krept,krept,He crept closer,Si avvicinò piano,He has crept closer,Si è avvicinato,creeped,❌ forma errata
crow-crew-crowed,cantare (gallo),krəʊ,kruː,krəʊd,The cock crew,Il gallo cantò,The cock has crowed,Il gallo ha cantato,crowed,⚠️ doppia forma
cut-cut-cut,tagliare,kʌt,kʌt,kʌt,I cut my finger,Mi sono tagliato un dito,I have cut the paper,Ho tagliato la carta,cutted,❌ verbo invariabile
deal-dealt-dealt,trattare,diːl,delt,delt,He dealt cards,Ha distribuito carte,He has dealt cards,Ha distribuito carte,dealed,❌ forma errata
dig-dug-dug,scavare,dɪɡ,dʌɡ,dʌɡ,He dug a hole,Ha scavato una buca,He has dug one,Ne ha scavata una,digged,❌ forma errata
do-did-done,fare,duː,dɪd,dʌn,I did my homework,Ho fatto i compiti,I have done everything,Ho fatto tutto,I have did,❌ uso del past simple al posto del PP
draw-drew-drawn,disegnare,drɔː,druː,drɔːn,He drew a map,Ha disegnato una mappa,He has drawn it,L’ha disegnata,drawed,❌ forma errata
dream-dreamt-dreamt,sognare,driːm,drem,drem,I dreamt a lot,Ho sognato molto,I have dreamt often,Ho sognato spesso,dreamed,⚠️ forma US
drink-drank-drunk,bere,drɪŋk,dræŋk,drʌŋk,He drank water,Ha bevuto acqua,He has drunk too much,Ha bevuto troppo,drinken,❌ forma inventata
drive-drove-driven,guidare,draɪv,drəʊv,ˈdrɪvən,I drove home,Ho guidato fino a casa,I have driven a lot,Ho guidato molto,drived,❌ PP errato
dwell-dwelt-dwelt,abitare,dwel,dwelt,dwelt,He dwelt here,Abitava qui,He has dwelt here,Ha abitato qui,dwelled,⚠️ forma US
eat-ate-eaten,mangiare,iːt,eɪt,ˈiːtən,I ate pizza,Ho mangiato pizza,I have eaten already,Ho già mangiato,eated,❌ verbo irregolare
fall-fell-fallen,cadere,fɔːl,fel,ˈfɔːlən,I fell down,Sono caduto,I have fallen asleep,Mi sono addormentato,falled,❌ forma errata
feed-fed-fed,nutrire,fiːd,fed,fed,She fed the dog,Ha nutrito il cane,She has fed it,L’ha nutrito,feeded,❌ forma errata
feel-felt-felt,sentire,fiːl,felt,felt,I felt sick,Mi sentivo male,I have felt better,Mi sono sentito meglio,feeled,❌ forma errata
fight-fought-fought,combattere,faɪt,fɔːt,fɔːt,They fought hard,Hanno combattuto duro,They have fought hard,Hanno combattuto duro,fighted,❌ forma errata
find-found-found,trovare,faɪnd,faʊnd,faʊnd,I found my keys,Ho trovato le chiavi,I have found a solution,Ho trovato una soluzione,finded,❌ forma errata
flee-fled-fled,fuggire,fliː,fled,fled,They fled fast,Fuggirono in fretta,They have fled,Fuggirono,fleeed,❌ forma errata
fling-flung-flung,scagliare,flɪŋ,flʌŋ,flʌŋ,He flung it,Lo scagliò,He has flung it,L’ha scagliato,flinged,❌ forma errata
forbid-forbade-forbidden,proibire,fəˈbɪd,fəˈbeɪd,fəˈbɪdən,It forbade entry,Ha proibito l’accesso,It has forbidden entry,Ha proibito l’accesso,forbided,❌ forma errata
forecast-forecast-forecast,prevedere,ˈfɔːkɑːst,ˈfɔːkɑːst,ˈfɔːkɑːst,They forecast rain,Hanno previsto pioggia,They have forecast rain,Hanno previsto pioggia,forecasted,❌ invariabile
forget-forgot-forgotten,dimenticare,fəˈɡet,fəˈɡɒt,fəˈɡɒtən,I forgot it,L’ho dimenticato,I have forgotten it,L’ho dimenticato,forgetted,❌ forma errata
forgive-forgave-forgiven,perdonare,fəˈɡɪv,fəˈɡeɪv,fəˈɡɪvən,I forgave him,L’ho perdonato,I have forgiven him,L’ho perdonato,forgived,❌ forma errata
freeze-froze-frozen,congelare,friːz,frəʊz,ˈfrəʊzən,It froze solid,Si è congelato,It has frozen,Si è congelato,freezed,❌ forma errata
get-got-got,ottenere / diventare,ɡet,ɡɒt,ɡɒt,I got a new job,Ho trovato un nuovo lavoro,I have got better,Sono migliorato,I have get,❌ participio passato errato
give-gave-given,dare,ɡɪv,ɡeɪv,ˈɡɪvən,She gave me help,Mi ha aiutato,She has given me advice,Mi ha dato un consiglio,gived,❌ verbo irregolare
go-went-gone,andare,ɡəʊ,went,ɡɒn,I went to school early,Sono andato a scuola presto,I have gone home,Sono andato a casa,I have went,❌ gone ≠ went
grind-ground-ground,macinare,ɡraɪnd,ɡraʊnd,ɡraʊnd,He ground coffee,Ha macinato caffè,He has ground coffee,Ha macinato caffè,grinded,⚠️ forma tecnica
hang-hung-hung,appendere,hæŋ,hʌŋ,hʌŋ,He hung it up,L’ha appeso,He has hung it,L’ha appeso,hanged,⚠️ solo per esecuzioni
have-had-had,avere,hæv,hæd,hæd,I had no time yesterday,Non avevo tempo ieri,I have had enough,Ne ho avuto abbastanza,I have haded,❌ forma verbale inesistente
hear-heard-heard,sentire,hɪə,hɜːd,hɜːd,I heard a noise,Ho sentito un rumore,I have heard that before,L’ho già sentito,heared,❌ forma errata
hew-hewed-hewn,tagliare,hjuː,hjuːd,hjuːn,He hewed wood,Tagliò legna,He has hewn wood,Ha tagliato legna,hewed,⚠️ PP UK: hewn
hide-hid-hidden,nascondere,haɪd,hɪd,ˈhɪdən,He hid well,Si nascose bene,He has hidden well,Si è nascosto bene,hided,❌ forma errata
hold-held-held,tenere,həʊld,held,held,She held my hand,Mi teneva la mano,She has held it,Lo ha tenuto,holded,❌ forma errata
hurt-hurt-hurt,ferire,hɜːt,hɜːt,hɜːt,It hurt me,Mi ha fatto male,It has hurt me,Mi ha fatto male,hurted,❌ invariabile
keep-kept-kept,tenere,kiːp,kept,kept,I kept calm,Sono rimasto calmo,I have kept the secret,Ho tenuto il segreto,keeped,❌ forma errata
kneel-knelt-knelt,inginocchiarsi,niːl,nelt,nelt,He knelt down,Si inginocchiò,He has knelt down,Si è inginocchiato,kneeled,⚠️ forma US
lay-laid-laid,stendere,leɪ,leɪd,leɪd,He laid it down,L’ha posato,He has laid it,L’ha posato,layed,❌ forma errata
lead-led-led,condurre,liːd,led,led,He led us,Ci ha guidato,He has led us,Ci ha guidato,leaded,❌ forma errata
leap-leapt-leapt,saltare,liːp,lept,lept,He leapt high,Ha saltato alto,He has leapt high,Ha saltato alto,leaped,⚠️ forma US
leave-left-left,andarsene / lasciare,liːv,left,left,I left early,Sono andato via presto,I have left the office,Ho lasciato l’ufficio,leaved,❌ forma errata
lend-lent-lent,prestare,lend,lent,lent,I lent money,Ho prestato soldi,I have lent money,Ho prestato soldi,lended,❌ forma errata
let-let-let,permettere,let,let,let,He let me go,Mi ha lasciato andare,He has let me go,Mi ha lasciato andare,letted,❌ invariabile
light-lit-lit,accendere,laɪt,lɪt,lɪt,He lit a fire,Ha acceso un fuoco,He has lit it,L’ha acceso,lighted,⚠️ forma alternativa
lose-lost-lost,perdere,luːz,lɒst,lɒst,I lost my phone,Ho perso il telefono,I have lost everything,Ho perso tutto,loosed,❌ confusione con loose
make-made-made,fare / creare,meɪk,meɪd,meɪd,She made a mistake,Ha fatto un errore,I have made dinner,Ho preparato la cena,I have maked,❌ forma regolare inesistente
mean-meant-meant,significare,miːn,ment,ment,What did you mean?,Cosa intendevi?,I have meant that,Intendevo quello,meaned,❌ forma errata
meet-met-met,incontrare,miːt,met,met,I met her yesterday,L’ho incontrata ieri,I have met him before,L’ho già incontrato,meeted,❌ forma errata
mislead-misled-misled,fuorviare,ˌmɪsˈliːd,ˌmɪsˈled,ˌmɪsˈled,He misled us,Ci ha fuorviato,He has misled us,Ci ha fuorviato,misleaded,❌ forma errata
mow-mowed-mown,tagliare (erba),məʊ,məʊd,məʊn,He mowed the lawn,Ha tagliato il prato,He has mown it,L’ha tagliato,mowed,⚠️ PP UK: mown
outgrow-outgrew-outgrown,crescere oltre,ˌaʊtˈɡrəʊ,ˌaʊtˈɡruː,ˌaʊtˈɡrəʊn,He outgrew it,Lo superò,He has outgrown it,L’ha superato,outgrowed,❌ forma errata
overhear-overheard-overheard,origliare,ˌəʊvəˈhɪə,ˌəʊvəˈhɜːd,ˌəʊvəˈhɜːd,I overheard them,Li ho origliati,I have overheard them,Li ho origliati,overheared,❌ forma errata
overtake-overtook-overtaken,sorpassare,ˌəʊvəˈteɪk,ˌəʊvəˈtʊk,ˌəʊvəˈteɪkən,He overtook me,Mi ha sorpassato,He has overtaken me,Mi ha sorpassato,overtaked,❌ forma errata
overthrow-overthrew-overthrown,rovesciare,ˌəʊvəˈθrəʊ,ˌəʊvəˈθruː,ˌəʊvəˈθrəʊn,They overthrew him,Lo rovesciarono,They have overthrown him,Lo hanno rovesciato,overthrowed,❌ forma errata
pay-paid-paid,pagare,peɪ,peɪd,peɪd,I paid the bill,Ho pagato il conto,I have paid already,Ho già pagato,payed,❌ forma errata
prove-proved-proven,dimostrare,pruːv,pruːvd,ˈpruːvən,He proved it,Lo dimostrò,He has proven it,Lo ha dimostrato,proved,⚠️ PP UK preferito: proven
put-put-put,mettere,pʊt,pʊt,pʊt,I put it here,L’ho messo qui,I have put everything away,Ho messo via tutto,puted,❌ verbo invariabile
quit-quit-quit,smettere,kwɪt,kwɪt,kwɪt,He quit work,Ha lasciato il lavoro,He has quit already,Ha già smesso,quitted,❌ invariabile
read-read-read,leggere,riːd,red,red,I read the book,Ho letto il libro,I have read it twice,L’ho letto due volte,readed,❌ pronuncia/forma errata
rend-rent-rent,strappar via,rend,rent,rent,He rent it,Lo strappò,He has rent it,L’ha strappato,rended,❌ forma errata
rid-rid-rid,liberare,rɪd,rɪd,rɪd,He rid himself,Si liberò,He has rid himself,Si è liberato,ridded,❌ invariabile
rise-rose-risen,alzarsi,raɪz,rəʊz,ˈrɪzən,The sun rose,Il sole è sorto,The price has risen,Il prezzo è aumentato,rised,❌ forma errata
run-ran-run,correre,rʌn,ræn,rʌn,I ran fast,Ho corso veloce,I have run a lot,Ho corso molto,runned,❌ forma errata
saw-sawed-sawn,segare,sɔː,sɔːd,sɔːn,He sawed wood,Ha segato legna,He has sawn it,L’ha segata,sawed,⚠️ PP UK: sawn
say-said-said,dire,seɪ,sed,sed,He said nothing,Non ha detto nulla,He has said enough,Ha detto abbastanza,He sayed,❌ verbo irregolare
see-saw-seen,vedere,siː,sɔː,siːn,I saw him yesterday,L’ho visto ieri,I have seen that movie,Ho visto quel film,I have saw,❌ seen solo con have
seek-sought-sought,cercare,siːk,sɔːt,sɔːt,They sought answers,Cercarono risposte,They have sought answers,Hanno cercato risposte,seeked,❌ forma errata
sell-sold-sold,vendere,sel,səʊld,səʊld,I sold my car,Ho venduto la mia auto,I have sold everything,Ho venduto tutto,selled,❌ forma errata
send-sent-sent,mandare,send,sent,sent,I sent a message,Ho mandato un messaggio,I have sent the email,Ho inviato l’email,sended,❌ forma errata
sew-sewed-sewn,cucire,səʊ,səʊd,səʊn,She sewed it,Lo cucì,She has sewn it,L’ha cucito,sewed,⚠️ PP UK: sewn
shake-shook-shaken,scuotere,ʃeɪk,ʃʊk,ˈʃeɪkən,He shook my hand,Mi ha stretto la mano,He has shaken it,L’ha scossa,shaked,❌ forma errata
shed-shed-shed,versare / perdere,ʃed,ʃed,ʃed,He shed tears,Ha versato lacrime,He has shed tears,Ha versato lacrime,shedded,❌ invariabile
shine-shone-shone,brillare,ʃaɪn,ʃɒn,ʃɒn,The sun shone,Il sole brillava,It has shone all day,Ha brillato tutto il giorno,shined,❌ forma errata
shoot-shot-shot,sparare,ʃuːt,ʃɒt,ʃɒt,He shot once,Ha sparato una volta,He has shot before,Ha sparato prima,shooted,❌ forma errata
shrink-shrank-shrunk,restringersi,ʃrɪŋk,ʃræŋk,ʃrʌŋk,It shrank,Si è ristretto,It has shrunk,Si è ristretto,shrinked,❌ forma errata
sink-sank-sunk,affondare,sɪŋk,sæŋk,sʌŋk,The ship sank,La nave affondò,The ship has sunk,La nave è affondata,sinked,❌ forma errata
sit-sat-sat,sedersi,sɪt,sæt,sæt,I sat down,Mi sono seduto,I have sat here,Mi sono seduto qui,sitted,❌ forma errata
slay-slew-slain,uccidere,sleɪ,sluː,sleɪn,He slew the beast,Uccise la bestia,He has slain it,L’ha uccisa,slayed,❌ forma errata
sleep-slept-slept,dormire,sliːp,slept,slept,I slept well,Ho dormito bene,I have slept enough,Ho dormito abbastanza,sleeped,❌ forma errata
slit-slit-slit,tagliare,slɪt,slɪt,slɪt,He slit it,L’ha tagliato,He has slit it,L’ha tagliato,slitted,❌ invariabile
smell-smelt-smelt,odorare,smel,smelt,smelt,It smelt bad,Puzzava,It has smelt bad,Ha puzzato,smelled,⚠️ forma US
sow-sowed-sown,seminare,səʊ,səʊd,səʊn,He sowed seeds,Ha seminato,He has sown seeds,Ha seminato,sowed,⚠️ PP UK: sown
speak-spoke-spoken,parlare,spiːk,spəʊk,ˈspəʊkən,I spoke English,Ho parlato inglese,I have spoken to him,Ho parlato con lui,speaked,❌ forma errata
spend-spent-spent,spendere,spend,spent,spent,I spent money,Ho speso soldi,I have spent too much,Ho speso troppo,spended,❌ forma errata
spin-spun-spun,filare,spɪn,spʌn,spʌn,She spun wool,Ha filato lana,She has spun wool,Ha filato lana,spinned,❌ forma errata
spoil-spoilt-spoilt,rovinare,spɔɪl,spɔɪlt,spɔɪlt,It spoilt quickly,Si rovinò,It has spoilt,Si è rovinato,spoiled,⚠️ forma US
spread-spread-spread,diffondere,spred,spred,spred,News spread fast,La notizia si diffuse,News has spread,La notizia si è diffusa,spreaded,❌ invariabile
spring-sprang-sprung,saltare,sprɪŋ,spræŋ,sprʌŋ,He sprang up,Si alzò di scatto,He has sprung up,Si è alzato,springed,❌ forma errata
stand-stood-stood,stare in piedi,stænd,stʊd,stʊd,I stood up,Mi sono alzato,I have stood here,Sono rimasto qui,standed,❌ forma errata
steal-stole-stolen,rubare,stiːl,stəʊl,ˈstəʊlən,He stole money,Ha rubato soldi,He has stolen it,L’ha rubato,stealed,❌ forma errata
stick-stuck-stuck,attaccare / infilare,stɪk,stʌk,stʌk,It stuck there,È rimasto lì,It has stuck,È rimasto attaccato,sticked,❌ forma errata
sting-stung-stung,pungere,stɪŋ,stʌŋ,stʌŋ,It stung me,Mi ha punto,It has stung me,Mi ha punto,stinged,❌ forma errata
strike-struck-struck,colpire,straɪk,strʌk,strʌk,He struck first,Ha colpito per primo,He has struck first,Ha colpito per primo,striked,❌ forma errata
swear-swore-sworn,giurare,sweə,swɔː,swɔːn,He swore loyalty,Giurò fedeltà,He has sworn loyalty,Ha giurato fedeltà,swear ed,❌ forma errata
sweep-swept-swept,spazzare,swiːp,swept,swept,She swept the floor,Ha spazzato il pavimento,She has swept it,L’ha spazzato,sweeped,❌ forma errata
swell-swelled-swollen,gonfiarsi,swel,sweld,ˈswəʊlən,It swelled,Si gonfiò,It has swollen,Si è gonfiato,swelled,⚠️ PP UK: swollen
swim-swam-swum,nuotare,swɪm,swæm,swʌm,I swam today,Ho nuotato oggi,I have swum a lot,Ho nuotato molto,swimmed,❌ forma errata
take-took-taken,prendere / portare,teɪk,tʊk,ˈteɪkən,I took the bus,Ho preso l’autobus,I have taken a decision,Ho preso una decisione,I have took,❌ uso del past simple
teach-taught-taught,insegnare,tiːtʃ,tɔːt,tɔːt,She taught English,Insegnava inglese,She has taught me,Mi ha insegnato,teached,❌ forma errata
tell-told-told,dire / raccontare,tel,təʊld,təʊld,He told me,Me l’ha detto,He has told the truth,Ha detto la verità,telled,❌ forma errata
think-thought-thought,pensare,θɪŋk,θɔːt,θɔːt,I thought so,Pensavo così,I have thought about it,Ci ho pensato,thinked,❌ forma errata
thrive-throve-thriven,prosperare,θraɪv,θrəʊv,ˈθrɪvən,He throve there,Prosperò lì,He has thriven there,Ha prosperato lì,thrived,⚠️ forma alternativa
throw-threw-thrown,lanciare,θrəʊ,θruː,θrəʊn,I threw the ball,Ho lanciato la palla,I have thrown it,L’ho lanciata,throwed,❌ forma errata
tread-trod-trodden,calpestare,tred,trɒd,ˈtrɒdən,He trod lightly,Ha camminato piano,He has trodden lightly,Ha camminato piano,treaded,❌ forma errata
understand-understood-understood,capire,ˌʌndəˈstænd,ˌʌndəˈstʊd,ˌʌndəˈstʊd,I understood you,Ti ho capito,I have understood now,Ora ho capito,understanded,❌ forma errata
wake-woke-woken,svegliare,weɪk,wəʊk,ˈwəʊkən,He woke early,Si svegliò presto,He has woken early,Si è svegliato presto,waked,❌ forma errata
wear-wore-worn,indossare,weə,wɔː,wɔːn,I wore a jacket,Indossavo una giacca,I have worn it,Lo ho indossato,weared,❌ forma errata
weave-wove-woven,intrecciare,wiːv,wəʊv,ˈwəʊvən,She wove fabric,Ha tessuto stoffa,She has woven fabric,Ha tessuto stoffa,weaved,❌ forma errata
weep-wept-wept,piangere,wiːp,wept,wept,She wept,Ha pianto,She has wept,Ha pianto,weeped,❌ forma errata
win-won-won,vincere,wɪn,wʌn,wʌn,I won the game,Ho vinto la partita,I have won twice,Ho vinto due volte,winned,❌ forma errata
wind-wound-wound,avvolgere,waɪnd,waʊnd,waʊnd,He wound it,Lo avvolse,He has wound it,L’ha avvolto,winded,❌ forma errata
withdraw-withdrew-withdrawn,ritirare,wɪðˈdrɔː,wɪðˈdruː,wɪðˈdrɔːn,He withdrew money,Ha ritirato soldi,He has withdrawn money,Ha ritirato soldi,withdrawed,❌ forma errata
wring-wrung-wrung,strizzare,rɪŋ,rʌŋ,rʌŋ,He wrung it,Lo strizzò,He has wrung it,L’ha strizzato,wringed,❌ forma errata
write-wrote-written,scrivere,raɪt,rəʊt,ˈrɪtən,I wrote a letter,Ho scritto una lettera,I have written an email,Ho scritto un’email,writed,❌ forma errata
















